wavenumber1,beta_sheet1,beta_turn,alpha_helix,beta_sheet,side_chain,wavenumber2,globulins
1622.610523,9.34248E-50,8.65668E-15,1.91986E-11,2.73779E-06,4.91303E-06,,
1622.710904,1.26343E-49,9.36321E-15,2.08914E-11,2.84968E-06,4.80647E-06,,
1622.811285,1.70784E-49,1.0126E-14,2.27281E-11,2.96528E-06,4.70053E-06,,
1622.911667,2.30754E-49,1.09493E-14,2.47203E-11,3.0847E-06,4.59527E-06,,
1623.012048,3.11641E-49,1.18379E-14,2.68807E-11,3.208E-06,4.49076E-06,,
1623.112429,4.20694E-49,1.27967E-14,2.92229E-11,3.33527E-06,4.38706E-06,,
1623.212811,5.67653E-49,1.38313E-14,3.17615E-11,3.4666E-06,4.28421E-06,,
1623.313192,7.65605E-49,1.49474E-14,3.45125E-11,3.60207E-06,4.18227E-06,,
1623.413574,1.03212E-48,1.61512E-14,3.74927E-11,3.74176E-06,4.0813E-06,,
1623.513955,1.3908E-48,1.74495E-14,4.07205E-11,3.88576E-06,3.98133E-06,,
1623.614336,1.87328E-48,1.88494E-14,4.42157E-11,4.03414E-06,3.88242E-06,,
1623.714718,2.522E-48,2.03588E-14,4.79993E-11,4.18698E-06,3.7846E-06,,
1623.769,2.96141E-48,2.12235E-14,5.01735E-11,4.27153E-06,3.73218E-06,,
1623.815099,3.39385E-48,2.19859E-14,5.20942E-11,4.34438E-06,3.68793E-06,,
1623.91548,4.56505E-48,2.37396E-14,5.65249E-11,4.50639E-06,3.59244E-06,,
1624.015862,6.13767E-48,2.56296E-14,6.13178E-11,4.67311E-06,3.49817E-06,,
1624.116243,8.24836E-48,2.76661E-14,6.65012E-11,4.84461E-06,3.40514E-06,,
1624.216625,1.10799E-47,2.98602E-14,7.21054E-11,5.02097E-06,3.31341E-06,,
1624.317006,1.48768E-47,3.22236E-14,7.81632E-11,5.20225E-06,3.22298E-06,,
1624.417387,1.99659E-47,3.47692E-14,8.47096E-11,5.38853E-06,3.1339E-06,,
1624.517769,2.67839E-47,3.75105E-14,9.17824E-11,5.57989E-06,3.04619E-06,,
1624.61815,3.5914E-47,4.04621E-14,9.94218E-11,5.77638E-06,2.95988E-06,,
1624.718532,4.81348E-47,4.36398E-14,1.07671E-10,5.97808E-06,2.87497E-06,,
1624.818913,6.44851E-47,4.70603E-14,1.16577E-10,6.18505E-06,2.7915E-06,,
1624.919294,8.63505E-47,5.07417E-14,1.2619E-10,6.39736E-06,2.70948E-06,,
1625.019676,1.15578E-46,5.47033E-14,1.36563E-10,6.61505E-06,2.62893E-06,,
1625.120057,1.54629E-46,5.89658E-14,1.47752E-10,6.8382E-06,2.54986E-06,,
1625.220438,2.06782E-46,6.35513E-14,1.5982E-10,7.06684E-06,2.47228E-06,,
1625.32082,2.764E-46,6.84836E-14,1.72833E-10,7.30104E-06,2.3962E-06,,
1625.421201,3.69292E-46,7.37882E-14,1.8686E-10,7.54084E-06,2.32163E-06,,
1625.521583,4.93182E-46,7.94924E-14,2.01978E-10,7.78628E-06,2.24857E-06,,
1625.621964,6.58339E-46,8.56253E-14,2.18266E-10,8.03741E-06,2.17703E-06,,
1625.698,8.19103E-46,9.05752E-14,2.31435E-10,8.23144E-06,2.12385E-06,,
1625.722345,8.78409E-46,9.22182E-14,2.35811E-10,8.29426E-06,2.10701E-06,,
1625.822727,1.17152E-45,9.93046E-14,2.54705E-10,8.55687E-06,2.03851E-06,,
1625.923108,1.56173E-45,1.0692E-13,2.75048E-10,8.82526E-06,1.97153E-06,,
1626.023489,2.08099E-45,1.15103E-13,2.96944E-10,9.09946E-06,1.90606E-06,,
1626.123871,2.77165E-45,1.23895E-13,3.20506E-10,9.3795E-06,1.84211E-06,,
1626.224252,3.68987E-45,1.3334E-13,3.45856E-10,9.66538E-06,1.77967E-06,,
1626.324634,4.9101E-45,1.43484E-13,3.7312E-10,9.95712E-06,1.71872E-06,,
1626.425015,6.53091E-45,1.54377E-13,4.02438E-10,1.02547E-05,1.65927E-06,,
1626.525396,8.68286E-45,1.66074E-13,4.33956E-10,1.05582E-05,1.6013E-06,,
1626.625778,1.15387E-44,1.78632E-13,4.67829E-10,1.08676E-05,1.5448E-06,,
1626.726159,1.5327E-44,1.92112E-13,5.04226E-10,1.11828E-05,1.48976E-06,,
1626.826541,2.03499E-44,2.06579E-13,5.43325E-10,1.15038E-05,1.43617E-06,,
1626.926922,2.70067E-44,2.22105E-13,5.85315E-10,1.18307E-05,1.384E-06,,
1627.027303,3.58251E-44,2.38763E-13,6.30399E-10,1.21634E-05,1.33326E-06,,
1627.127685,4.75015E-44,2.56634E-13,6.78793E-10,1.25018E-05,1.28391E-06,,
1627.228066,6.29554E-44,2.75803E-13,7.30728E-10,1.2846E-05,1.23595E-06,,
1627.328447,8.33996E-44,2.96361E-13,7.86447E-10,1.31959E-05,1.18935E-06,,
1627.428829,1.10433E-43,3.18407E-13,8.46213E-10,1.35514E-05,1.14409E-06,,
1627.52921,1.46164E-43,3.42044E-13,9.10302E-10,1.39125E-05,1.10017E-06,,
1627.626,1.91444E-43,3.66446E-13,9.76469E-10,1.42659E-05,1.05905E-06,,
1627.629592,1.9337E-43,3.67383E-13,9.79011E-10,1.42792E-05,1.05755E-06,,
1627.729973,2.55705E-43,3.94543E-13,1.05265E-09,1.46513E-05,1.01622E-06,,
1627.830354,3.37985E-43,4.2365E-13,1.13156E-09,1.50288E-05,9.76151E-07,,
