,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
115,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
